"Tweet_ID","Sampling_Stratum","Sampling_Reason"
"1970826347498053720","No_Signal","No keyword match"
"2022622333987623039","No_Signal","No keyword match"
"1880226850213097907","Overlap","Matched multiple: Mutu_Gizi, Tata_Kelola"
"1889906963896774731","Tata_Kelola_Signal","Matched Tata_Kelola keyword"
"2010579014633877760","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1879462370751512610","Overlap","Matched multiple: Mutu_Gizi, Tata_Kelola"
"1890097236077604894","Tata_Kelola_Signal","Matched Tata_Kelola keyword"
"1919881475144745043","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1983811092217561334","Overlap","Matched multiple: Mutu_Gizi, Tata_Kelola"
"1990467692370014483","Tata_Kelola_Signal","Matched Tata_Kelola keyword"
"1922539767683600459","No_Signal","No keyword match"
"1879808401640931335","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1911246015778476104","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1972137962138931530","Overlap","Matched multiple: Tata_Kelola, Distribusi"
"1909904727435002096","Distribusi_Signal","Matched Distribusi keyword"
"1913217279317409997","Tata_Kelola_Signal","Matched Tata_Kelola keyword"
"1943816884140618129","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"2009302969498628291","Distribusi_Signal","Matched Distribusi keyword"
"1867167616374387152","No_Signal","No keyword match"
"2026988083963630061","Tata_Kelola_Signal","Matched Tata_Kelola keyword"
"1815646072414544154","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1818942178170970173","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1891022196295844171","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1914995470918889675","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1974180372448698830","No_Signal","No keyword match"
"1968862932860592483","No_Signal","No keyword match"
"2019928264400318932","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1925878559966454067","No_Signal","No keyword match"
"1919981788807758105","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1862724078072950845","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1926307697332199654","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"2014332913949737182","Overlap","Matched multiple: Mutu_Gizi, Tata_Kelola"
"1876486546226036875","Tata_Kelola_Signal","Matched Tata_Kelola keyword"
"2025762288016507017","Distribusi_Signal","Matched Distribusi keyword"
"1914276022876610955","Tata_Kelola_Signal","Matched Tata_Kelola keyword"
"2011033539845005711","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1876179192460751282","Distribusi_Signal","Matched Distribusi keyword"
"1970873839812002178","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1893919242669416868","Tata_Kelola_Signal","Matched Tata_Kelola keyword"
"2018231402463125789","Overlap","Matched multiple: Mutu_Gizi, Distribusi"
"1997278269251698994","No_Signal","No keyword match"
"1974190172498735569","Distribusi_Signal","Matched Distribusi keyword"
"1879741191895597498","Mutu_Gizi_Signal","Matched Mutu_Gizi keyword"
"1913023673050751027","No_Signal","No keyword match"
