slang,kata_baku,frekuensi
yg,yang,4503
ga,tidak,1936
aja,saja,1884
gak,tidak,1614
tapi,tetapi,974
udah,sudah,968
kalo,kalau,946
lu,kamu,623
banget,sangat,551
bikin,membuat,540
emang,memang,529
tuh,itu,495
pake,pakai,463
gini,begini,435
klo,kalau,400
bgt,sangat,386
tau,tahu,362
gw,saya,341
gitu,begitu,328
bener,benar,324
duit,uang,321
anak2,anak-anak,319
gimana,bagaimana,319
jd,jadi,301
sampe,sampai,288
tdk,tidak,288
nggak,tidak,284
tp,tetapi,276
org,orang,275
mending,lebih baik,268
utk,untuk,268
kayak,seperti,266
udh,sudah,262
jg,juga,261
dgn,dengan,253
dapet,dapat,243
dikasih,diberi,241
ni,ini,234
gue,saya,233
liat,lihat,233
krn,karena,227
gk,tidak,224
doang,saja,218
ngomong,berbicara,218
kek,seperti,200
jgn,jangan,164
ngga,tidak,159
sdh,sudah,157
ngasih,memberi,149
dpt,dapat,144
kl,kalau,138
emg,memang,136
dg,dengan,130
gua,saya,130
wkwk,hahaha,125
lg,lagi,121
yaa,ya,118
beneran,sungguh,116
mulu,melulu,116
karna,karena,114
tetep,tetap,107
milih,memilih,106
dll,dan lain-lain,104
mikir,berpikir,104
trus,terus,104
tu,itu,104
indo,indonesia,102
ngapain,melakukan apa,101
wkwkwk,hahaha,101
gmn,bagaimana,95
gt,begitu,93
knp,kenapa,92
blm,belum,91
ortu,orang tua,91
pengen,ingin,87
pinter,pintar,87
skrg,sekarang,87
cuan,keuntungan,86
ama,sama,85
dimana,di mana,83
tai,tahi,83
bs,bisa,81
nonton,menonton,77
nunggu,menunggu,76
yah,ya,75
nanya,bertanya,73
abis,habis,71
kaga,tidak,71
kayaknya,sepertinya,71
nambah,menambah,71
kasian,kasihan,70
orang2,orang-orang,70
dlm,dalam,69
duitnya,uangnya,67
ntar,nanti,66
mentri,menteri,65
spt,seperti,65
lbh,lebih,64
sy,saya,64
keliatan,kelihatan,63
kyk,seperti,63
elu,kamu,62
pilpres,pemilihan presiden,62
kerjaan,pekerjaan,61
segitu,sebanyak itu,61
hrs,harus,60
nyalahin,menyalahkan,59
byk,banyak,57
dipake,dipakai,56
kagak,tidak,56
rb,ribu,56
sebenernya,sebenarnya,56
disini,di sini,55
pantes,pantas,55
ko,kok,53
engga,tidak,52
msh,masih,51
ngerti,mengerti,51
bpk,bapak,50
jendral,jenderal,50
mkn,makan,50
aj,saja,49
bener2,benar-benar,49
lha,lah,49
make,memakai,49
noh,itu,49
tsb,tersebut,49
brp,berapa,48
drpd,daripada,48
kemana,ke mana,48
nyari,mencari,48
bkn,bukan,47
kemaren,kemarin,45
dri,dari,44
jdi,jadi,44
koq,kok,44
trs,terus,44
catering,katering,43
enggak,tidak,43
ngurusin,mengurusi,43
sbg,sebagai,43
uda,sudah,43
wkwkwkwk,hahaha,43
denger,dengar,42
gaada,tidak ada,42
maksa,memaksa,42
komen,komentar,41
bnyk,banyak,40
mrk,mereka,40
sekedar,sekadar,40
gabisa,tidak bisa,39
iki,ini,39
mikirin,memikirkan,39
ngak,tidak,39
temen,teman,39
btw,omong-omong,38
disana,di sana,38
guys,kawan-kawan,38
males,malas,38
ngurus,mengurus,38
pdhl,padahal,38
diem,diam,37
gausah,tidak usah,37
ngawur,asal-asalan,37
pantesan,pantas saja,37
yak,ya,37
emng,memang,36
gajelas,tidak jelas,36
kayanya,sepertinya,36
ngaku,mengaku,36
ato,atau,35
hutang,utang,35
nolak,menolak,35
ttg,tentang,35
wkwkw,hahaha,35
aje,saja,34
dikit,sedikit,34
gara2,gara-gara,34
loe,kamu,34
mendingan,lebih baik,34
ormas,organisasi massa,34
plis,tolong,34
taik,tahi,34
gada,tidak ada,33
ikutan,ikut,33
kasi,kasih,33
dibawah,di bawah,32
gatau,tidak tahu,32
gpp,tidak apa-apa,32
jastip,jasa titip,32
yaaa,ya,32
apa2,apa-apa,31
bayangin,bayangkan,31
nangis,menangis,31
tpi,tetapi,31
yo,ya,31
belom,belum,30
dijadiin,dijadikan,30
gapapa,tidak apa-apa,30
kepikiran,terpikir,30
nyuruh,menyuruh,30
ok,oke,30
sj,saja,30
adek,adik,29
ampe,sampai,29
diluar,di luar,29
gamau,tidak mau,29
mmg,memang,29
ad,ada,28
donk,dong,28
gegara,gara-gara,28
lama2,lama-lama,28
negri,negeri,28
ngomongnya,berbicaranya,28
ortunya,orang tuanya,28
ttp,tetap,28
dlu,dulu,27
klu,kalau,27
masi,masih,27
ngeles,mengelak,27
opo,apa,27
siapapun,siapa pun,27
stress,stres,27
warteg,warung tegal,27
ae,saja,26
boss,bos,26
inget,ingat,26
jt,juta,26
kedepan,ke depan,26
kesini,ke sini,26
kirain,mengira,26
krna,karena,26
nyampe,sampai,26
resiko,risiko,26
seneng,senang,26
vs,melawan,26
bagi2,bagi-bagi,25
diatas,di atas,25
kira2,kira-kira,25
nanggung,tanggung,25
skrng,sekarang,25
yaallah,ya allah,25
dibikin,dibuat,24
dih,idih,24
keknya,sepertinya,24
orangtua,orang tua,24
wes,sudah,24
benar2,benar-benar,23
dipikirin,dipikirkan,23
gtu,begitu,23
nerima,menerima,23
org2,orang-orang,23
ribet,rumit,23
salahin,salahkan,23
udahlah,sudahlah,23
bocil,bocah kecil,22
dengerin,dengarkan,22
kpd,kepada,22
medsos,media sosial,22
mo,mau,22
nemu,menemukan,22
ngabisin,menghabiskan,22
ngambil,mengambil,22
ngerasain,merasakan,22
nyambung,menyambung,22
smpe,sampai,22
ujung2nya,ujung-ujungnya,22
apasih,apa sih,21
app,aplikasi,21
bln,bulan,21
bumil,ibu hamil,21
darimana,dari mana,21
dilapangan,di lapangan,21
dn,dan,21
ndak,tidak,21
ngibul,berbohong,21
ngomongin,membicarakan,21
ngutang,berutang,21
smua,semua,21
bnyak,banyak,20
disitu,di situ,20
doank,saja,20
gmna,bagaimana,20
masing2,masing-masing,20
naikin,menaikkan,20
ngaco,mengacau,20
ngk,tidak,20
silahkan,silakan,20
benerin,benarkan,19
ginian,seperti ini,19
hadeh,aduh,19
ilang,hilang,19
lgi,lagi,19
ngeliat,melihat,19
nggk,tidak,19
ny,nya,19
taunya,tahunya,19
yaudah,ya sudah,19
cape,lelah,18
dirumah,di rumah,18
goblog,goblok,18
ijo,hijau,18
kedepannya,ke depannya,18
kmrn,kemarin,18
sosmed,media sosial,18
ancur,hancur,17
biarin,biarkan,17
blg,bilang,17
boong,bohong,17
dsb,dan sebagainya,17
emangnya,memangnya,17
ky,seperti,17
kyknya,sepertinya,17
lgsg,langsung,17
maksain,memaksakan,17
ngasi,memberi,17
pls,mohon,17
sblm,sebelum,17
segini,sebanyak ini,17
thn,tahun,17
wkwkwkw,hahaha,17
yh,ya,17
cmn,hanya,16
curhat,curahan hati,16
